Customer ID,Customer Name,Group ID,Group Name,Relationship Established,Customer Rating,Industry,Address
IFR100,Geiss Company,GRP500,Ventura Ltd,2016-07-31,3,Dairy,"Wagga Wagga, New South Wales, Australia"
IFR101,Jaxbean Group,GRP504,Kroger ,2013-11-22,2,Auto Dealers,"Townsville, Queensland, Australia"
IFR102,Ascend Ltd,GRP512,Aurobindo Corp,2013-03-01,2,Gas & Oil,"Brisbane, Queensland, Australia"
IFR103,Eire Corp,GRP505,TYA Corp,2005-04-09,4,Defense,"Cairns, Queensland, Australia"
IFR104,Blogtags Ltd,GRP502,Rite Ltd,2010-11-15,3,Computer Software,"Perth, Western Australia, Australia"
IFR105,Family Corp,GRP501,Guthy-Renker ,2003-12-14,3,Printing & Publishing,"Maryborough, Queensland, Australia"
IFR106,Skidoo Company,GRP507,Supervalu ,2001-12-23,2,Home Builders,"Gladstone, Queensland, Australia"
IFR107,Amerisourc Corp,GRP502,Rite Ltd,2008-02-05,3,Home Builders,"Lismore, New South Wales, Australia"
IFR108,Walgreen Corp,GRP515,Mary ,2003-12-04,3,Real Estate,"Broome, Western Australia, Australia"
IFR109,Unit Ltd,GRP505,TYA Corp,2008-05-19,3,Construction Services,"Logan City, Queensland, Australia"
IFR110,Voonyx Group,GRP505,TYA Corp,2010-04-29,3,Auto Dealers,"Port Lincoln, South Australia, Australia"
IFR111,Realcube Company,GRP502,Rite Ltd,2016-09-09,3,Mining,"Cessnock, New South Wales, Australia"
IFR112,Nexus Group,GRP507,Supervalu ,2007-05-03,1,Printing & Publishing,"Mackay, Queensland, Australia"
IFR113,Alembic Ltd,GRP516,Cantrell Ltd,2009-02-23,3,Insurance,"Katherine, Northern Territory, Australia"
IFR114,Centizu Company,GRP505,TYA Corp,2010-07-07,3,Insurance,"Clarence, Tasmania, Australia"
IFR115,Arbor Company,GRP514,Hikma ,2012-08-14,3,Real Estate,"Goulburn, New South Wales, Australia"
IFR116,Liberty Group,GRP517,Wal-Mart Corp,2002-06-22,3,Real Estate,"Fremantle, Western Australia, Australia"
IFR117,Omba Group,GRP501,Guthy-Renker ,2015-10-28,1,Bars & Restaurants,"Nowra, New South Wales, Australia"
IFR118,Roberts Company,GRP514,Hikma ,2002-05-25,2,Computer Software,"Palmerston, Northern Territory, Australia"
IFR119,Tagfeed Ltd,GRP511,Physicians Ltd,2005-03-11,2,Home Builders,"Bendigo, Victoria, Australia"
IFR120,Viva Ltd,GRP500,Ventura Ltd,2013-08-27,2,Construction,"Mount Isa, Queensland, Australia"
IFR121,SAFEWAY Ltd,GRP500,Ventura Ltd,2003-10-01,2,Business Services,"Cessnock, New South Wales, Australia"
IFR122,Devpoint Group,GRP511,Physicians Ltd,2009-09-06,4,Agriculture,"Toowoomba, Queensland, Australia"
IFR123,Shanghai Group,GRP520,General Ltd,2010-12-31,2,Insurance,"Geelong, Victoria, Australia"
IFR124,"OnPoint, Group",GRP514,Hikma ,2011-10-22,5,Defense,"Townsville, Queensland, Australia"
IFR125,Fera ,GRP514,Hikma ,2013-10-30,2,Dairy,"Launceston, Tasmania, Australia"
IFR126,"PharmaForce, ",GRP514,Hikma ,2001-05-01,1,Printing & Publishing,"Bathurst, New South Wales, Australia"
IFR127,Fresno Ltd,GRP517,Wal-Mart Corp,2005-11-13,3,Construction Services,"Broken Hill, New South Wales, Australia"
IFR128,"Supervalu, Ltd",GRP514,Hikma ,2011-04-18,2,Insurance,"Bathurst, New South Wales, Australia"
IFR129,Korea Corp,GRP500,Ventura Ltd,2003-12-09,3,Mining,"Port Hedland, Western Australia, Australia"
IFR130,Gilead Corp,GRP516,Cantrell Ltd,2006-02-20,3,Construction Services,"Adelaide, South Australia, Australia"
IFR131,Target ,GRP505,TYA Corp,2006-11-29,1,Defense,"Perth, Western Australia, Australia"
IFR132,Nipro ,GRP517,Wal-Mart Corp,2013-01-06,3,Real Estate,"Katherine, Northern Territory, Australia"
IFR133,Elcure Corp,GRP516,Cantrell Ltd,2003-12-02,3,Insurance,"Warrnambool, Victoria, Australia"
IFR134,TEVA Corp,GRP501,Guthy-Renker ,2010-06-20,3,Construction,"Port Hedland, Western Australia, Australia"
IFR135,H2O Group,GRP502,Rite Ltd,2016-08-07,3,Construction Services,"Launceston, Tasmania, Australia"
IFR136,Dr. Ltd,GRP502,Rite Ltd,2014-06-30,3,Computer Software,"Mildura, Victoria, Australia"
IFR137,Dudley Group,GRP505,TYA Corp,2006-06-03,4,Construction Services,"Mackay, Queensland, Australia"
IFR138,PMC Ltd,GRP514,Hikma ,2001-11-12,3,Insurance,"Lismore, New South Wales, Australia"
IFR139,Hangzhou ,GRP500,Ventura Ltd,2002-04-22,3,Construction,"Glenorchy, Tasmania, Australia"
IFR140,KPSS Ltd,GRP507,Supervalu ,2008-02-24,2,Dairy,"Hobart, Tasmania, Australia"
IFR141,TOO Corp,GRP514,Hikma ,2003-08-16,1,Auto Dealers,"Whyalla, South Australia, Australia"
IFR142,"MedImmune, Corp",GRP519,AmerisourceBergen Ltd,2016-08-17,3,Auto Dealers,"Cairns, Queensland, Australia"
IFR143,Zeus Group,GRP514,Hikma ,2005-12-13,3,Printing & Publishing,"Ballarat, Victoria, Australia"
IFR144,Sato ,GRP500,Ventura Ltd,2015-01-25,3,Insurance,"Clarence, Tasmania, Australia"
IFR145,Amerisourcebergen Group,GRP514,Hikma ,2012-02-08,3,Mining,"Hervey Bay, Queensland, Australia"
IFR146,Evonik ,GRP515,Mary ,2002-01-16,5,Computer Software,"Broome, Western Australia, Australia"
IFR147,CSL ,GRP512,Aurobindo Corp,2005-04-15,2,Auto Dealers,"Swan Hill, Victoria, Australia"
IFR148,Your ,GRP500,Ventura Ltd,2012-04-20,2,Home Builders,"Sunshine Coast, Queensland, Australia"
IFR149,DSE Ltd,GRP517,Wal-Mart Corp,2007-01-25,1,Defense,"Cessnock, New South Wales, Australia"
IFR150,Spec ,GRP514,Hikma ,2013-10-13,3,Agriculture,"Albany, Western Australia, Australia"
IFR151,"HelloLife, Group",GRP517,Wal-Mart Corp,2015-08-30,1,Business Services,"Maryborough, Queensland, Australia"
IFR152,Aurolife Corp,GRP500,Ventura Ltd,2006-01-22,3,Construction Services,"Lismore, New South Wales, Australia"
IFR153,Church Ltd,GRP507,Supervalu ,2002-06-02,2,Business Services,"Bunbury, Western Australia, Australia"
IFR154,Gate Corp,GRP514,Hikma ,2007-03-06,3,Real Estate,"Katherine, Northern Territory, Australia"
IFR155,BB Group,GRP514,Hikma ,2006-06-22,2,Construction Services,"Nambour, Queensland, Australia"
IFR156,Stila Ltd,GRP505,TYA Corp,2014-03-17,2,Construction,"Gladstone, South Australia, Australia"
IFR157,HYVEE Corp,GRP515,Mary ,2008-08-16,2,Agriculture,"Alice Springs, Northern Territory, Australia"
IFR158,Par Group,GRP500,Ventura Ltd,2010-12-08,1,Construction,"Brisbane, Queensland, Australia"
IFR159,International Group,GRP502,Rite Ltd,2010-11-03,3,Insurance,"Grafton, New South Wales, Australia"
IFR160,Jafra Ltd,GRP514,Hikma ,2005-05-28,4,Real Estate,"Mildura, Victoria, Australia"
IFR161,Apollo Ltd,GRP507,Supervalu ,2010-04-20,3,Defense,"Townsville, Queensland, Australia"
IFR162,Home Corp,GRP514,Hikma ,2005-03-12,1,Auto Dealers,"Albury, New South Wales, Australia"
IFR163,Topco Ltd,GRP500,Ventura Ltd,2002-08-19,3,Mining,"Lake Macquarie, New South Wales, Australia"
IFR164,Robinson Group,GRP517,Wal-Mart Corp,2015-08-31,1,Dairy,"Albury, New South Wales, Australia"
IFR165,LLC Group,GRP514,Hikma ,2010-10-18,1,Construction Services,"Nambour, Queensland, Australia"
IFR166,Brookmeade Corp,GRP500,Ventura Ltd,2008-06-19,3,Home Builders,"Bunbury, Western Australia, Australia"
IFR167,Terrain Corp,GRP516,Cantrell Ltd,2014-01-04,3,Real Estate,"Maryborough, Queensland, Australia"
IFR168,The Corp,GRP509,DuPuy Corp,2016-07-02,3,Dairy,"Mandurah, Western Australia, Australia"
IFR169,ILMO Group,GRP517,Wal-Mart Corp,2001-11-26,2,Construction Services,"Albury, New South Wales, Australia"
IFR170,Geri-Care Corp,GRP516,Cantrell Ltd,2010-11-21,2,Insurance,"Logan City, Queensland, Australia"
IFR171,Gensco Ltd,GRP520,General Ltd,2004-08-02,1,Construction,"Bunbury, Western Australia, Australia"
IFR172,Superior Ltd,GRP515,Mary ,2007-11-13,2,Computer Software,"Shepparton, Victoria, Australia"
IFR173,Faria Group,GRP500,Ventura Ltd,2016-05-01,1,Computer Software,"Armidale, New South Wales, Australia"
IFR174,First Ltd,GRP511,Physicians Ltd,2006-01-03,3,Insurance,"Bunbury, Western Australia, Australia"
IFR175,White Group,GRP500,Ventura Ltd,2002-08-10,4,Agriculture,"Port Macquarie, New South Wales, Australia"
IFR176,Sunovion Group,GRP519,AmerisourceBergen Ltd,2004-07-20,3,Home Builders,"Armidale, New South Wales, Australia"
IFR177,Taro ,GRP516,Cantrell Ltd,2010-08-29,3,Auto Dealers,"Thuringowa, Queensland, Australia"
IFR178,Micro ,GRP501,Guthy-Renker ,2010-09-20,2,Defense,"Bundaberg, Queensland, Australia"
IFR179,Covis Group,GRP500,Ventura Ltd,2013-07-18,3,Auto Dealers,"Queanbeyan, New South Wales, Australia"
IFR180,International Ltd,GRP502,Rite Ltd,2010-11-05,3,Agriculture,"Mackay, Queensland, Australia"
IFR181,Lake Ltd,GRP505,TYA Corp,2004-07-27,3,Construction,"Lake Macquarie, New South Wales, Australia"
IFR182,H&H Ltd,GRP518,Young Corp,2010-05-06,3,Real Estate,"Griffith, New South Wales, Australia"
IFR183,EXPRO3 Ltd,GRP514,Hikma ,2011-06-21,2,Defense,"Redcliffe, Queensland, Australia"
IFR184,Rhodes ,GRP517,Wal-Mart Corp,2014-11-03,1,Dairy,"Albury, New South Wales, Australia"
IFR185,Natures ,GRP520,General Ltd,2003-03-21,3,Computer Software,"Nambour, Queensland, Australia"
IFR186,3M Group,GRP502,Rite Ltd,2002-03-24,2,Insurance,"Nowra, New South Wales, Australia"
IFR187,THE Group,GRP510,New ,2013-03-22,3,Home Builders,"Dubbo, New South Wales, Australia"
IFR188,Personal Ltd,GRP515,Mary ,2002-06-29,3,Construction Services,"Orange, New South Wales, Australia"
IFR189,Rugby Ltd,GRP500,Ventura Ltd,2002-05-30,4,Auto Dealers,"Gold Coast, Queensland, Australia"
IFR190,Laboratory ,GRP502,Rite Ltd,2011-10-02,5,Gas & Oil,"Katherine, Northern Territory, Australia"
IFR191,Pharma ,GRP500,Ventura Ltd,2014-08-01,2,Insurance,"Ipswich, Queensland, Australia"
IFR192,Apotex Corp,GRP502,Rite Ltd,2007-02-22,2,Dairy,"Lake Macquarie, New South Wales, Australia"
IFR193,McKesson Group,GRP516,Cantrell Ltd,2013-06-29,1,Home Builders,"Bendigo, Victoria, Australia"
IFR194,Bio Ltd,GRP511,Physicians Ltd,2001-12-05,3,Printing & Publishing,"Devonport, Tasmania, Australia"
IFR195,Dentsply Group,GRP517,Wal-Mart Corp,2009-04-05,1,Insurance,"Ballarat, Victoria, Australia"
IFR196,EKR Group,GRP500,Ventura Ltd,2005-04-19,3,Bars & Restaurants,"Benalla, Victoria, Australia"
IFR197,MSC ,GRP502,Rite Ltd,2013-05-03,2,Printing & Publishing,"Port Macquarie, New South Wales, Australia"
IFR198,Dong Corp,GRP511,Physicians Ltd,2007-08-27,1,Insurance,"Shepparton, Victoria, Australia"
IFR199,Mechanical Group,GRP514,Hikma ,2011-10-18,1,Computer Software,"Townsville, Queensland, Australia"
